id,grupo
14,persona
71,persona
81,persona
105,persona
111,persona
113,persona
126,persona
138,persona
145,persona
162,persona
165,persona
167,persona
176,persona
202,persona
218,persona
232,persona
244,persona
246,persona
255,persona
258,persona
266,persona
273,persona
274,persona
277,persona
283,persona
289,persona
292,persona
294,persona
305,persona
307,persona
311,persona
321,persona
323,persona
326,persona
330,persona
338,persona
355,persona
358,persona
362,persona
372,persona
373,persona
374,persona
378,persona
390,persona
393,persona
395,persona
403,persona
409,persona
418,persona
424,persona
427,persona
430,persona
432,persona
436,persona
439,persona
443,persona
447,persona
453,persona
462,persona
472,persona
473,persona
484,persona
488,persona
497,persona
498,persona
501,persona
503,persona
508,persona
540,persona
559,persona
563,persona
564,persona
573,persona
576,persona
579,persona
593,persona
596,persona
624,persona
626,persona
640,persona
650,persona
652,persona
659,persona
704,persona
720,persona
730,persona
835,persona
849,persona
890,persona
906,persona
915,persona
916,persona
931,persona
945,persona
948,persona
953,persona
984,persona
991,persona
